Família;Produtos;Descrição;Qtd Varejo Reg/Nac;VENDAS EM SP;Participação SP no Varejo
EP;GO250;AIR FRYER 3L 127V | 1200W DE POTÊNCIA | FUNÇÃO 4 EM 1: ASSA, FRITA, TOSTA E GRATINA | TIMER DE 60 MINUTOS | TEMPERATURA AJUSTÁVEL | CESTO ANTIADERENTE | PRÁTICA E SAUDÁVEL | MULTI HOME   ;1058;138;13,0%
AC;WI470;;1049;1049;100,0%
VD;TL066M;TV 43 POL FHD ANDROID MULTI   ;1040;10;1,0%
EP;GO017;MIXER DUO TURBO 127V | 200W DE POTÊNCIA | 2 VELOCIDADES | LÂMINAS DE AÇO INOX | ACOMPANHA COPO DOSADOR DE 700ML | DESIGN ERGONÔMICO | CORPO DESMONTÁVEL | MULTI HOME   ;1006;870;86,5%
EP;GO014;LIQUIDIFICADOR SHAKE 220V-300W 2 COPOS E FUNCAO PULSAR   ;1002;318;31,7%
AC;WC056;WEBCAM 720P 30FPS FOCO FIXO C/ MICROFONE INTEGRADO E CAMERA DE PRIVACIDADE COM CABO DE 2M   ;1000;749;74,9%
IC;HKM512P82A;;1000;0;0,0%
IC;HKM512S22A;;1000;0;0,0%
EP;GO013;LIQUIDIFICADOR SHAKE 127V-300W 2 COPOS E FUNCAO PULSAR   ;992;848;85,5%
SO;SP514;PULSE STORM 2 DOUBLE 10 1500W RMS   ;983;52;5,3%
EP;GO131;CHURRASQUEIRA ELETRICA GOURMET 127V | 1800W DE POTÊNCIA | SEM FUMAÇA | FÁCIL DE LIMPAR | ACABAMENTO EM AÇO INOX | GRELHA COM ALTURA AJUSTÁVEL | BANDEJA COLETORA DE GORDURA | MULTI HOME   ;953;-336;-35,3%
AC;WI300;FILTRO DE LINHA 5 TOMADAS BRANCO   ;931;314;33,7%
SO;SP517;PULSE CAIXA DE SOM TORRE 2500W RMS   ;899;2;0,2%
ME;MC161;;896;20;2,2%
EP;GO500;PANELA DE ARROZ 10 XICARAS 127V | 700W DE POTÊNCIA | FUNÇÃO MANTER AQUECIDO | 1,8L DE CAPACIDADE | ACOMPANHA: COLHER, COPO DOSADOR, BANDEJA E CABO REMOVÍVEL | REVESTIMENTO ANTIADERENTE | MULTI HOME   ;894;700;78,3%
AC;PH367;HEADSET COM FIO HF200 CONEXÃO P3 CABO DE 150CM DRIVER 40 MM POTÊNCIA 45MW MICROFONE AJUSTAVEL PRETO   ;871;355;40,8%
EP;GO035;CAFETEIRA ELÉTRICA 15 XICARAS 127V | 650W DE POTÊNCIA | FUNÇÃO MANTER AQUECIDO | CAPACIDADE DE 650ML | FACILIDADE NO PREPARO | INDICADOR DE ÁGUA | SISTEMA CORTA-PINGO | MULTI HOME   ;861;609;70,7%
EF;LQ1201;LIQUIDIFICADOR MULTI TURBO LQ1200 1.200W 127V PRETO 12 VELOCIDADES COPO 2,6 LITROS   ;859;0;0,0%
EP;HO601;ASPIRADOR VERTICAL TURBO SWEEP 220V | 1350W DE POTÊNCIA | 2 EM 1: VERTICAL E DE MÃO | FILTRO HEPA | CAPACIDADE DE 1L | BOCAL PARA CANTOS E FRESTAS | CABO ELÉTRICO DE 4 METROS | MULTI HOME   ;849;144;17,0%
EP;EB201;ESCOVA SECADORA ESSENCIAL BIVOLT| POTÊNCIA 1300W | 3 EM 1: ALISA, MODELA E DÁ VOLUME | 3 NÍVEIS DE TEMPERATURA | MULTICERDAS EM NYLON | REVESTIMENTO NANOCERAMIC GLASS | CABO GIRATÓRIO 360°| MULTI CARE   ;844;432;51,2%
AC;WI297;FILTRO DE LINHA 5 TOMADAS PRETO   ;842;159;18,9%
EF;LQ652;LIQUIDIFICADOR MULTI TURBO LQ650 650W 3 VELOCIDADES 2,3 LITROS 220V 60HZ PRETO   ;806;0;0,0%
AC;MO417;MOUSE SEM FIO VERTICAL MS17 CONEXÃO USB 2.4GHZ PILHAS INCLUSAS BOTÃO LIGA/DESLIGA DPI AJUSTÁVEL 800/1200/1600 ACABAMENTO EMBORRACHADO   ;804;4;0,5%
ME;CD052;MIDIA CD-R VEL. 52X - 50 UN. SHRINK IMPRIMIVEL BRANCO   ;801;707;88,3%
EP;HO704;FERRO DE PASSAR A VAPOR LISO FÁCIL 127V | 1200W DE POTÊNCIA | TECNOLOGIA MODOFLEX: SECO OU A VAPOR | FUNÇÃO AUTOLIMPEZA | RESERVATÓRIO DE ÁGUA | SISTEMA CORTA-PINGOS | BASE ANTIADERENTE | MULTI HOME   ;797;200;25,1%
EP;GO020;MIXER DUO TURBO 3 EM 1 220V | 200W DE POTÊNCIA| 3 EM 1: MIXER, PROCESSADOR E BATEDOR DE CLARAS | LÂMINA EM AÇO INOX | 2 VELOCIDADES | MINIPROCESSADOR DE 500ML E COPO DOSADOR DE 700ML | MULTI HOME   ;793;9;1,1%
VD;TL062M;TV 32 POLEGADAS HD ANDROID E WIFI INTEGRADO - MULTI   ;790;3;0,4%
VT;TB030M;TV TOSHIBA 55 POL 4K DLED 55C350NS VIDAA   ;783;0;0,0%
SO;PH434;HEADPHONE BLUETOOTH PULSE PRETO HB300   ;780;138;17,7%
EP;EB128;CORTADOR DE CABELO 4 EM 1 127V   ;775;30;3,9%
SO;SP518;PULSE CAIXA DE SOM TORRE 2000W   ;775;1;0,1%
AC;MO380;MOUSE SEM FIO MS300 USB 1200DPI 3BOT SLIM SILENCIOSO PT   ;738;83;11,2%
VD;TL059M;TV 50 POL UHD 4K ROKU MULTI   ;738;11;1,5%
EF;LQ801;LIQUIDIFICADOR MULTI TURBO LQ800 800W 5 VELOCIDADES 2,6 LITROS 127V 60HZ PRETO   ;732;36;4,9%
NG;NB825;TABLET M10 4G 4+128GB T610   ;721;1;0,1%
AC;CB051;PILHAS RECARREGAVEIS AAA (1000MAH) - 2 UNIDADES   ;720;42;5,8%
PR;PRNB425;;720;0;0,0%
SO;SP403;PULSE BURST 550W RMS 12POL   ;714;0;0,0%
AC;WI221;FILTRO DE LINHA 6 TOMADAS LINEAR PRETO   ;701;342;48,8%
HC;HC041;MUSCLE FIX - FITA KINESIO - ROLO 5CMx5M - BEGE   ;694;0;0,0%
AC;PH427;HEADSET COM FIO HF600 CONEXÃO P3 E USB CABO DE 180cm MICROFONE 150 GRAUS DRIVER 40mm POTÊNCIA 100mW PRETO   ;664;288;43,4%
AC;AC279;AC.DESKTOP SUPORTE AJUSTAVEL ERGONOMICO PARA PES   ;664;80;12,0%
EP;GO004;PANELA DE ARROZ 5 XICARAS 220V | 400W DE POTÊNCIA | FUNÇÃO MANTER AQUECIDO | PRATICIDADE NO PREPARO | ACOMPANHA: COLHER, COPO DOSADOR, BANDEJA E CABO REMOVÍVEL | REVESTIMENTO ANTIADERENTE | MULTI HOME   ;649;110;16,9%
AC;MO384;MOUSE SEM FIO ERGONOMICO MS800 USB 1600DPI AJUSTAVEL 6BOT VERTICAL SILENCIOSO PT   ;630;400;63,5%
HC;HC040;MUSCLE FIX - FITA KINESIO - ROLO 5CMx5M - PRETO   ;622;0;0,0%
AC;MO290;MOUSE SEM FIO MS600 USB 1600 - 2400DPI AJUSTAVEL 4BOT SLIM SILENCIOSO RECARREGAVEL PT   ;614;220;35,8%
AC;RF005;Refil De Tinta Para Impressoras Epson T664 100ML Cor Preto - RF005   ;601;40;6,7%
HC;HC060N;;600;0;0,0%
SO;SP511;PULSE PULSEBOX 3 DOUBLE 8 1400W RMS   ;591;1;0,2%
HC;HC489;KIT COM 50 TIRAS PARA GLICEMIA GLICOCHECK   ;588;0;0,0%
HC;HC171;;578;506;87,5%
AC;MO381;MOUSE SEM FIO MS400 USB 2400DPI AJUSTAVEL 6BOT ERGONOMICO SILENCIOSO PT   ;575;57;9,9%
AC;BO400;CASE NEOPRENE PARA NOTEBOOK ATE 15.6 POL. PRETO E CINZA   ;569;15;2,6%
EP;HO700;FERRO DE PASSAR A SECO EASYGLIDE 127V | 1200W DE POTÊNCIA | BASE ANTIADERENTE | TECNOLOGIA SALVA-BOTÕES | CONTROLE DE TEMPERATURA | CABO 360° | LUZ INDICADORA | DESIGN LEVE E CONFORTÁVEL | MULTI HOME   ;555;14;2,5%
TE;P9227;CELULAR FLIP VITA 4G PRETO   ;548;28;5,1%
EP;EB174;SECADOR DE CABELO ESSENCIAL 220V | 2000W DE POTÊNCIA | 3 TEMPERATURAS | 2 VELOCIDADES | JATO DE AR FRIO | BOCAL DIRECIONADOR | ALÇA PARA PENDURAR | MULTI CARE   ;545;24;4,4%
AC;AC443;HUB USB 2.0 COM 4 PORTAS PRETO   ;541;78;14,4%
AC;WI444;CABO LIGHTNING 1.2M BRANCO (IPHONE)   ;539;361;67,0%
EP;EB301;SECADOR DE CABELO BRILHO ROSÉ 220V | 2000W DE POTÊNCIA | 3 TEMPERATURAS | 2 VELOCIDADES | JATO DE AR FRIO | BOCAL DIRECIONADOR | ALÇA PARA PENDURAR | MULTI CARE   ;530;324;61,1%
VT;TB032M;TV TOSHIBA 65 POL 4K DLED 65C350NS VIDAA   ;523;16;3,1%
EP;EB401;PRANCHA DE CABELO ESSENCIAL BIVOLT | 40W DE POTÊNCIA | ALISE OU MODELE | CABO GIRATÓRIO 360°| LIGA/DESLIGA COM LUZ INDICADORA | TRAVA DE SEGURANÇA | FORMATO ARREDONDADO | DESIGN LEVE | MULTI CARE   ;522;204;39,1%
SO;WR201;PULSEIRA SMARTBAND B2 ROSE   ;512;0;0,0%
ME;PD601;;510;26;5,1%
AC;TSB966;MOCHILA INTELLECT ESSENTIALS TARGUS PARA NOTEBOOKS 15.6 1 COMPARTIMENTO PRINCIPAL 1 COMPARTIMENTO ACOLCHOADO PARA NOTEBOOKS 1 COMPARTIMENTO FRONTAL DE FÁCIL ACESSO FEITO DE POLYESTER RESISTENTE A AGUA   ;509;224;44,0%
NB;NB426;TABLET M8 WIFI 4/64GB CINZA   ;509;42;8,3%
SO;WR200;PULSEIRA SMARTBAND B2 PRETO   ;507;0;0,0%
SO;PH433;TWS WF 200 PULSE BRANCO, BATERIA DE LONGA DURAÇÃO DE ATÉ 20 HORAS   ;507;80;15,8%
AC;TC183;COMBO SEM FIO CS200 USB 3BOT 1000DPI COMPACTO SILENCIOSO PT   ;506;44;8,7%
NB;MI101;TABLET INFANTIL MIRAGE 49T 8 POLEGADAS   ;505;0;0,0%
NB;NB438;TABLET MICKEY M8 WIFI 4/64GB OCTA CORE   ;504;0;0,0%
SO;PH413;;493;493;100,0%
AC;TC312;Teclado Gamer Warrior Mecânico Royal Cross, TKL, Blue Switch, ABNT2, RGB - Preto   ;482;205;42,5%
HC;HC043;MUSCLE FIX - FITA KINESIO - ROLO 5CMx5M - VERMELHA   ;478;0;0,0%
EP;GO230;AIR FRYER 3.5L 220V | 1350W DE POTÊNCIA | FUNÇÃO 4 EM 1: ASSA, FRITA, TOSTA E GRATINA | COM GRADE ANTIADERENTE | SELETOR DE TEMPERATURA E TIMER SONORO DE 60 MINUTOS | PRÁTICA E SAUDÁVEL | MULTI HOME   ;478;78;16,3%
IC;HKM256S21B;SSD HIKVISION 2.5 SATA 256 GB   ;469;0;0,0%
HC;HC028;MUSCLE FIX - FITA KINESIO - ROLO 5CMx5M - ROSA   ;466;0;0,0%
HC;HC042;MUSCLE FIX - FITA KINESIO - ROLO 5CMx5M - AZUL   ;466;0;0,0%
AC;CB168;CARREGADOR DE PAREDE USB C 20W PRETO   ;454;370;81,5%
PC;UB250;NOTEBOOK ULTRA 14 POL CELERON N4020C 4GB 128GB eMMC WINDOWS 11 CINZA ESCOVADO   ;450;15;3,3%
AC;CB007;CARREGADOR FONTE UNIVERSAL PARA NOTEBOOK 90W   ;434;126;29,0%
AC;CT0301;CARTUCHO TONER HP UNIVERSAL 285/435/436 PRETO   ;432;61;14,1%
EP;GO101;PIPOQUEIRA ELÉTRICA 220V | 1200W DE POTÊNCIA | PREPARA PIPOCA EM MINUTOS | SAUDÁVEL E SEM ÓLEO | SABOR CINEMA | ACOMPANHA COLHER DOSADORA | BOCAL DIRECIONADOR | MULTI HOME   ;426;0;0,0%
NB;NB410;TABLET KID PAD AZUL 64 GB   ;425;7;1,6%
